seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,7,50,BPE-Iso-Mat12,1.074588340959325,19.551145450115655,2.5254116590406754,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,1.0,1.0,0.0,1.0,0.25,1.074588340959325,2.5254116590406754,0.5,1.0,1.0,0.0,1.0,0.25,1.074588340959325,2.5254116590406754,19.551145450115655
0,7,50,HGP-UCB-CPP,1.5523878080422158,15.137123599749152,2.0476121919577848,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.5,0.5,0.5,0.5,1.5523878080422158,2.0476121919577848,0.75,0.75,0.5,0.5,0.5,0.5,1.5523878080422158,2.0476121919577848,15.137123599749152
0,7,50,BZ-ETC,1.2245563813826967,14.390252178937576,2.375443618617304,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.25,0.0,0.5,1.0,0.75,1.2245563813826967,2.375443618617304,0.5,0.25,0.0,0.5,1.0,0.75,1.2245563813826967,2.375443618617304,14.390252178937576
0,7,50,SPSA,1.4951685698196853,11.622686801251291,2.1048314301803153,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,0.5,0.5,0.75,0.75,0.5,0.5,1.4951685698196853,2.1048314301803153,11.622686801251291
0,7,50,Kleinberg,1.8409372100378971,16.886218444947694,1.7590627899621034,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,1.0,0.25,0.25,0.25,1.0,1.8409372100378971,1.7590627899621034,1.0,1.0,0.25,0.25,0.25,1.0,1.8409372100378971,1.7590627899621034,16.886218444947694
0,7,50,Univariate,2.134418185880163,15.824170149809351,1.4655818141198376,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.5,0.5,0.25,0.25,2.134418185880163,1.4655818141198376,0.5,0.75,0.5,0.5,0.25,0.25,2.134418185880163,1.4655818141198376,15.824170149809351
0,8,50,DMS-X0-BPE,2.4641531216646007,13.518203545070575,1.1358468783353999,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.25,0.75,0.5,0.5,2.4641531216646007,1.1358468783353999,0.5,0.5,0.25,0.75,0.5,0.5,2.4641531216646007,1.1358468783353999,13.518203545070575
0,8,50,Joint-DMS-GP-UCB,0.9737001172168124,17.87230686903679,2.6262998827831883,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.5,0.75,1.0,0.0,0.9737001172168124,2.6262998827831883,0.75,0.75,0.5,0.75,1.0,0.0,0.9737001172168124,2.6262998827831883,17.87230686903679
0,8,50,GP-UCB-Iso-Mat12,1.210878616280039,17.674973321814306,2.389121383719962,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.25,0.75,0.5,0.5,0.25,1.210878616280039,2.389121383719962,0.25,0.25,0.75,0.5,0.5,0.25,1.210878616280039,2.389121383719962,17.674973321814306
0,8,50,BPE-Iso-Mat12,1.0474785758983378,22.103666874217318,2.5525214241016627,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,1.0,1.0,0.25,1.0,0.0,1.0474785758983378,2.5525214241016627,0.0,1.0,1.0,0.25,1.0,0.0,1.0474785758983378,2.5525214241016627,22.103666874217318
0,8,50,HGP-UCB-CPP,1.9834202438329513,16.7537033559162,1.6165797561670492,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.25,0.25,0.5,0.5,0.5,0.5,1.9834202438329513,1.6165797561670492,0.25,0.25,0.5,0.5,0.5,0.5,1.9834202438329513,1.6165797561670492,16.7537033559162
0,8,50,BZ-ETC,2.0441131887304804,15.946138990207096,1.55588681126952,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,1.0,0.75,0.25,0.5,1.0,2.0441131887304804,1.55588681126952,0.0,1.0,0.75,0.25,0.5,1.0,2.0441131887304804,1.55588681126952,15.946138990207096
0,8,50,SPSA,2.1173952118218686,13.105291589429424,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,13.105291589429424
0,8,50,Kleinberg,1.530178153675683,18.95604029127201,2.0698218463243174,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,0.5,0.0,0.0,0.5,0.5,1.530178153675683,2.0698218463243174,0.0,0.5,0.0,0.0,0.5,0.5,1.530178153675683,2.0698218463243174,18.95604029127201
0,8,50,Univariate,2.081176095722895,17.342994054086457,1.5188239042771055,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.25,0.25,0.25,0.25,2.081176095722895,1.5188239042771055,0.5,0.75,0.25,0.25,0.25,0.25,2.081176095722895,1.5188239042771055,17.342994054086457
0,9,50,DMS-X0-BPE,2.411354249398578,14.706849295671997,1.1886457506014225,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.25,0.5,0.5,0.5,2.4641531216646007,1.1358468783353999,0.5,0.5,0.25,0.75,0.5,0.5,2.411354249398578,1.1886457506014225,14.706849295671997
0,9,50,Joint-DMS-GP-UCB,1.9961775107781456,19.476129358258646,1.6038224892218549,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.25,0.25,0.75,0.5,0.75,1.9961775107781456,1.6038224892218549,0.75,0.25,0.25,0.75,0.5,0.75,1.9961775107781456,1.6038224892218549,19.476129358258646
0,9,50,GP-UCB-Iso-Mat12,3.0,18.274973321814308,0.6000000000000005,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.6000000000000005,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.6000000000000005,18.274973321814308
0,9,50,BPE-Iso-Mat12,0.09389011984955135,25.60977675436777,3.5061098801504493,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,1.0,1.0,0.25,1.0,0.25,0.09389011984955135,3.5061098801504493,1.0,1.0,1.0,0.25,1.0,0.25,0.09389011984955135,3.5061098801504493,25.60977675436777
0,9,50,HGP-UCB-CPP,3.0,17.353703355916203,0.6000000000000005,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.6000000000000005,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.6000000000000005,17.353703355916203
0,9,50,BZ-ETC,0.6987796101647001,18.8473593800424,2.9012203898353004,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.0,1.0,0.0,0.5,0.25,0.6987796101647001,2.9012203898353004,0.75,0.0,1.0,0.0,0.5,0.25,0.6987796101647001,2.9012203898353004,18.8473593800424
0,9,50,SPSA,2.2113542493985783,14.493937340030847,1.3886457506014223,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.25,0.25,0.5,0.5,2.2113542493985783,1.3886457506014223,0.5,0.75,0.25,0.25,0.5,0.5,2.2113542493985783,1.3886457506014223,14.493937340030847
